User,Location,Tweet,Date/Time,Likes
aguscarman_,"Buenos Aires, Argentina","@VFvalenn Entonces q maa t chapo boluda, el mundo? Ah se chapaba al mundo viste ekisde",2019-07-22 00:35:57,3337
weslley_dean,"Nova Lima, Campo Grande",@vitscruz Akkakakakak chapo,2019-07-22 00:35:30,49432
chapo_omu,,@ikatotakosensou ふみちゃんは笑顔にさせる天才⸜( ´ ꒳ ` )⸝♡︎,2019-07-22 00:35:04,8943
SputnikMundo,"Moscú, Rusia",La guerra por la sucesión del Chapo en el Cártel de Sinaloa que incendió a México https://t.co/HyEGPchqbV,2019-07-22 00:35:00,45
Fredypm,Lima,@VnezuelSoberana @ManuelR27352944 @OJOVENE @jilssa @Samurai16157668 @rodarellanob @licpcruz2 @saintmayo1981… https://t.co/B0kVY69G6l,2019-07-22 00:34:39,51
chapo_dq10,,"@dowahako3 @shelly_dq10_gp あっ、さっきEテレから変えたんだけど、選挙よりも先だったのねーー？？！😂😂
それは凄いな…。
テレビ的に引きが強いからなのか…😅",2019-07-22 00:34:32,13489
aguscarman_,"Buenos Aires, Argentina",@VFvalenn T chapo toda NoooOoO,2019-07-22 00:34:21,3337
chapo_omu,,"@mahal0_mana まーたなんおはよ( ⸝⸝•ᴗ•⸝⸝ )੭
ホモクリーム頭に塗るって言ってたけど、あれ...実は嘘なんだ...！",2019-07-22 00:33:39,8943
theatre500,"North West, England",SHIT!! 62 YEARS OLD. AND WE DO EBAY TO MAKE OUR MONEY. NOT AS RISKY. El Chapo: Mexico president calls life sentence… https://t.co/fNrIf2uZQu,2019-07-22 00:33:36,13
Radio_Formula,Ciudad de Mexico,"‘El modus operandi del “Chapo” Guzmán’: así se coló el narco mexicano en #LaCasaDePapel3

➡️➡️➡️… https://t.co/HTVtyREHl7",2019-07-22 00:33:00,2103
Isra_Prieto,,"Voz grave,mi estilo chapó👹🥵 https://t.co/taPdi2fVxj",2019-07-22 00:32:39,1747
chapo_dq10,,@Rin_081224 目がさー！もうチラッチラしててほんと、全く伝わってこなーーい😡😡😡,2019-07-22 00:32:11,13489
GacetaMexicana,,"GMx
El presidente de la Junta de Coordinación Política, Ricardo Monreal Ávila, informó que el Senado de la Repúblic… https://t.co/PqHmhkK91E",2019-07-22 00:32:02,1
kallzzz_,019,@dearlaro tipo eu me recuso a acreditar q existe 12 tipos de personalidade e que todo mundo tem 1 das 12 mas sla qm fez isso chapo bja eu,2019-07-22 00:31:28,23017
seanmharper,"Glenwood, IA",@6S_Chapo Don’t do snoop like that,2019-07-22 00:31:13,8698
estepapasito,,Alguien jala a convertirse en pirata y buscar el tesoro del chapo conmigo?,2019-07-22 00:31:03,3527
aguntini,,"@azucenau @moss_rub Pues si es cierto q fue él , le salió muy barato mandar a matar tanta gente. Ese tipo de gente… https://t.co/wxg3a7mokn",2019-07-22 00:30:59,247
HEDGEenergy,ask why?,El Chapo complained about New York jail. Let&amp;apos;s see how Supermax works out. https://t.co/75nk03sPaT https://t.co/FH5rLP8ACG,2019-07-22 00:30:56,1055
rockanoi,,@TosSeca72 @Tess_tuit Chapó,2019-07-22 00:30:47,14309
JulioVaqueiro,,"La leyenda de El Chapo, ¿se acaba? @rebekasmyth nos cuenta en #YoEstuveAhí @TelemundoNews https://t.co/8ee7Kpfu7Z",2019-07-22 00:30:47,1981
HEDGEenergy,ask why?,"New Article: El Chapo complained about New York jail. Let's see how Supermax works out. 

https://t.co/75nk03sPaT 

#WorldNews July 21, 2019",2019-07-22 00:30:45,1055
DanyJrez,,‘El modus operandi del “Chapo” Guzmán’: así se coló el narco mexicano en La Casa de Papel 3 https://t.co/1BKsqTHWFd,2019-07-22 00:30:41,6221
CR_indipolitico,México,"Mañana, no se pierdan la columna #IndicadorPolitico con el tema: 
.:: El Chapo encarcelado, pero sigue vigente la e… https://t.co/I5FyySTYUM",2019-07-22 00:30:03,2467
LaSagaOficial,México D.F.,El narcotraficante se había fugado del penal del Altiplano. https://t.co/M55Z9M3jq9,2019-07-22 00:30:00,1169
puffketeer,"Halifax, Canada | ハリファックス・カナダ","@iiotenki I believe this is what chapo trap house once called ""Movie Blob soy-face shit""",2019-07-22 00:29:48,1655
ja1godoy,Mirandópolis/Araçatuba.,"minha válvula de escape é ir p    fazenda, dou meus roles de moto, brinco com os cachorros, tiro um monte de foto e… https://t.co/bLw8bRM1Cy",2019-07-22 00:29:23,826
milycalleri,"cordoba, arg ",yo no chapo pero ni q mi vida dependiera de eso,2019-07-22 00:28:43,9173
420El_Chapo,"Viseu, Portugal",@Rocha_995 Tudo???,2019-07-22 00:28:05,2697
chapo_dq10,,"加藤さん、色々な番組で経済的な事や社会のことを学んでらっしゃるから、意見が本当にしっかりしていて素晴らしいなー。
昨日の松本さんは丸くおさめる事を主としていて、そこに違和感を覚えた。しかし加藤さんは膿を出しきって会社を立て直そうと… https://t.co/ZnMGsSeKnG",2019-07-22 00:28:03,13489
___ccarolina,,+Capaz si le decía armaba algún lío en su familia y lo tuve que bloquear de todos lados y nada les cuento eso para… https://t.co/XHlVm8XiM0,2019-07-22 00:28:00,1754
murallaverde,,"@munoz_mosino07 Jajaja dijiste que la recuperó en medio... él no gana nada, hace un buen control y retención de bal… https://t.co/8zMKddZCI4",2019-07-22 00:27:50,8288
