,  NÚMERO DE INCENDIO,FUENTE,ZONA,PARAJE,MUNICIPIO,COORDENADAS GEOGRÁFICAS NORTE,COORDENADAS GEOGRÁFICAS OESTE,CAUSA,FECHA DE REGISTRO,ESTRATO AFECTADO FORESTAL HOJARASCA,ESTRATO AFECTADO FORESTAL PASTO,ESTRATO AFECTADO FORESTAL ARBUSTO,ESTRATO AFECTADO FORESTAL RENUEVO,ESTRATO AFECTADO NO FORESTAL CULTIVOS,ESTRATO AFECTADO NO FORESTAL PASTIZAL,ESTRATO AFECTADO NO FORESTAL OTROS,SUPERFICIE AFECTADA TOTAL,NÚMERO DE PARTICIPANTES
7,124,OPD BLP,ZI,LAS TORRES,Tala,"""N 20° 39´ 07.7""""""","""W 103° 41´ 27.6""""""",Desconocida,27/12/2018,2.14,0,0,0,0,0,0,2.14,5
0,8,OPD BLP,ZI,EL NAVO,ZAPOPAN,"""N 20° 43´ 38.4""""""","""W 103° 35´ 06.6""""""",INTENCIONAL,01/01/2018,,,,,,5.7,,5.7,30
1,9,OPD BLP,ZI,EL REVENTÓN,ZAPOPAN,"""N 20° 43´ 25.9""""""","""W 103° 34´ 39.9""""""",INTENCIONAL,02/01/2018,,,,,,4.4,,4.4,12
2,10,OPD BLP,ZI,BOSQUES DE SANTA ANITA,TLAJOMULCO,"""N 20° 34´ 46.8""""""","""W 103° 28´ 56.6""""""",INTENCIONAL,03/01/2018,2.08,2,,,,,,4.08,22
3,11,OPD BLP,ZP,SAN JOSE DE LA MONTAÑA,ZAPOPAN,"""N 20° 37´ 33.6""""""","""W 103° 30´ 18.9""""""",OTROS,14/01/2018,1,0.37,,,,,,1.37,7
4,12,OPD BLP,ZI,TECNOLOGY PARK,ZAPOPAN,"""N 20° 43´ 09.5""""""","""W 103° 29´ 29.7""""""",INTENCIONAL,14/01/2018,,,,,,0.46,,0.46,15
5,13,OPD BLP,ZI,BARRANCA DEL MUERTO,ZAPOPAN,"""N 20° 44´ 12.6""""""","""W 103° 35´ 34.0""""""",INTENCIONAL,16/01/2018,,,,,,2.2,,2.2,26
6,14,OPD BLP,ZI,RANCHO LOS CONEJOS,TALA,"""N 20° 38´ 10.6""""""","""W 103° 41´ 10.1""""""",INTENCIONAL,18/01/2018,,,,,,3.5,,3.5,9
7,15,OPD BLP,ZI,EL 18,ZAPOPAN,"""N 20° 43´ 35.5""""""","""W 103° 30´ 38.9""""""",INTENCIONAL,24/01/2018,,,,,,0.85,,0.85,40
8,16,OPD BLP,ZI,EL PALOMAR,TLAJOMULCO,"""N 20° 35´ 46.2""""""","""W 103° 26´ 49.1""""""",QUEMA AGRICOLA,28/01/2018,,,,,,,0,0,24
