,geojson,ent_abr,id_dest,nombre
144,"{""type"":""Point"",""coordinates"":[-103.202886612,19.7256914970001]}",Jal.,144376,"Restaurante Mary, Tamazula de Gordiano"
145,"{""type"":""Point"",""coordinates"":[-103.225598615,20.412549198]}",Jal.,137205,"Restaurante Orientes, Ixtlahuacán de los Membrillos"
146,"{""type"":""Point"",""coordinates"":[-105.025895427,19.43781434]}",Jal.,137052,"Restaurante Pelícano Azul, La Huerta"
147,"{""type"":""Point"",""coordinates"":[-102.359550229,20.418768836]}",Jal.,133089,"Restaurante Tres Caminos, Ayotlán"
148,"{""type"":""Point"",""coordinates"":[-98.8180265349999,19.205820508]}",Mex.,154031,"Restaurante El Arenal, Tlalmanalco"
149,"{""type"":""Point"",""coordinates"":[-98.8668152989999,19.092361361]}",Mex.,152024,"Restaurante Las Minas, Juchitepec"
150,"{""type"":""Point"",""coordinates"":[-102.134493324,20.3658670720001]}",Mich.,162893,"Restaurante la Higuera, La Piedad"
151,"{""type"":""Point"",""coordinates"":[-102.069307532,20.359572874]}",Mich.,162886,"Restaurante El Potrero, La Piedad"
152,"{""type"":""Point"",""coordinates"":[-102.268634506,20.0301984400001]}",Mich.,166803,"Restaurante San Martín, Zamora"
153,"{""type"":""Point"",""coordinates"":[-101.573290385,20.095916151]}",Mich.,162979,"Restaurante Xanamu, Puruándiro"
154,"{""type"":""Point"",""coordinates"":[-101.490044208,20.088263081]}",Mich.,2474,"El Pedregal, Balneario - Restaurante, Puruándiro"
155,"{""type"":""Point"",""coordinates"":[-101.527413292,19.09419402]}",Mich.,3007,"Granja de Tilapia la Escondida, Turicato"
156,"{""type"":""Point"",""coordinates"":[-101.434060638,19.3289717220001]}",Mich.,2883,"Parque - Restaurante Las Ánimas de la Gaviota, Tacámbaro"
157,"{""type"":""Point"",""coordinates"":[-98.9780365939999,18.795520574]}",Mor.,167480,"Restaurante-Bar Casa de Campo, Ayala"
158,"{""type"":""Point"",""coordinates"":[-99.121599282,18.783538955]}",Mor.,168523,"Restaurante Campestre Panzacola, Tlaltizapán de Zapata"
