Player,Attempts,Debut year,Last year,Years played,Completions,Yards,TD,Interceptions,Passer Rating
Mike Livingston,1751,1968,1979,11,912,11295,56,83,63.3
Jack Trudeau,1644,1986,1995,9,873,10243,42,69,63.3
Ed Brown,1987,1954,1965,11,949,15600,102,138,62.8
Mark Malone,1648,1980,1989,9,839,10175,60,81,61.9
Bob Waterfield+,1617,1945,1952,7,814,11849,97,128,61.6
Eddie LeBaron,1796,1952,1963,11,898,13399,104,141,61.4
George Blanda+,4007,1949,1975,26,1911,26920,236,277,60.6
Babe Parilli,3330,1952,1969,17,1552,22681,178,220,59.6
Dan Pastorini,3055,1971,1983,12,1556,18515,103,161,59.1
Jack Kemp,3073,1957,1969,12,1436,21218,114,183,57.3
Tobin Rote,2907,1950,1966,16,1329,18850,148,191,56.8
Cotton Davidson,1752,1954,1968,14,770,11760,73,108,54.9
Mike Phipps,1799,1970,1981,11,886,10506,55,108,52.6
Frank Tripucka,1745,1949,1963,14,879,10282,69,124,52.2
