Summoner,Region,Fecha y Hora,Solo/Duo,Type,Map,Lane,Champion,Season
The Wardman,NA1,2019-06-14 06:21:16.769,DUO,5v5 Ranked Solo games,Summoner's Rift,BOTTOM,Lux,SEASON 2019
The Wardman,NA1,2019-06-14 06:10:57.276,DUO,5v5 Ranked Solo games,Summoner's Rift,NONE,Lux,SEASON 2019
The Wardman,NA1,2019-06-14 05:27:17.040,DUO,5v5 Ranked Solo games,Summoner's Rift,BOTTOM,Karma,SEASON 2019
The Wardman,NA1,2019-06-14 04:54:42.439,DUO,5v5 Ranked Solo games,Summoner's Rift,BOTTOM,Karma,SEASON 2019
The Wardman,NA1,2019-06-14 04:28:45.608,DUO,5v5 Ranked Solo games,Summoner's Rift,NONE,Nautilus,SEASON 2019
The Wardman,NA1,2019-06-14 03:48:25.673,DUO,5v5 Ranked Solo games,Summoner's Rift,BOTTOM,Blitzcrank,SEASON 2019
The Wardman,NA1,2019-06-14 03:06:20.097,DUO,5v5 Ranked Solo games,Summoner's Rift,BOTTOM,Sivir,SEASON 2019
The Wardman,NA1,2019-06-14 02:43:38.740,DUO,5v5 Ranked Solo games,Summoner's Rift,NONE,Sivir,SEASON 2019
The Wardman,NA1,2019-06-13 23:48:30.178,DUO,5v5 Ranked Solo games,Summoner's Rift,BOTTOM,Sivir,SEASON 2019
The Wardman,NA1,2019-06-13 23:39:33.572,DUO,5v5 Ranked Solo games,Summoner's Rift,NONE,Sivir,SEASON 2019
The Wardman,NA1,2019-06-13 23:09:21.187,DUO,5v5 Ranked Solo games,Summoner's Rift,BOTTOM,Caitlyn,SEASON 2019
The Wardman,NA1,2019-06-27 04:35:53.317,DUO,5v5 Draft Pick games,Summoner's Rift,BOTTOM,Thresh,SEASON 2019
The Wardman,NA1,2019-06-27 04:03:19.041,DUO,5v5 Draft Pick games,Summoner's Rift,BOTTOM,Thresh,SEASON 2019
The Wardman,NA1,2019-06-21 00:48:21.000,DUO,5v5 Ranked Flex games,Summoner's Rift,BOTTOM,Sivir,SEASON 2019
